act_fun	layers	neurons	alpha	iterations	batch_size	batch_count	std_dev	train_err	test_err	train_score	test_score		layers_structure
sigmoid	2	60	0,1	1	10	300	0,01	0,0751	0,0747	46,35%	47,75%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	10	300	0,01	0,0231	0,0219	85,28%	86,30%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	10	300	0,01	0,0241	0,0230	84,11%	84,82%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	10	300	0,01	0,0901	0,0901	9,92%	10,09%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	10	300	0,01	0,0812	0,0808	22,45%	22,78%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	10	300	0,01	0,0810	0,0807	21,54%	22,23%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	10	300	0,01	0,0902	0,0902	9,92%	10,09%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	10	300	0,01	0,0886	0,0886	23,14%	23,03%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	10	300	0,01	0,0805	0,0801	29,11%	29,01%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	10	300	0,01	0,0902	0,0902	9,92%	10,09%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	10	300	0,01	0,0900	0,0900	9,92%	10,09%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	10	300	0,01	0,0900	0,0900	10,44%	10,28%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	10	300	0,01	0,0904	0,0904	9,04%	8,92%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	10	300	0,01	0,0901	0,0901	9,92%	10,09%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	10	300	0,01	0,0899	0,0899	10,84%	10,71%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	1	100	1	0,01	0,0901	0,0900	9,74%	9,82%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	100	1	0,01	0,0900	0,0900	9,74%	9,82%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	100	1	0,01	0,0900	0,0900	9,93%	10,32%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	100	1	0,01	0,0900	0,0900	9,93%	10,32%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	100	1	0,01	0,0900	0,0900	9,74%	9,82%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	100	1	0,01	0,0900	0,0900	11,25%	11,36%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	100	1	0,01	0,0901	0,0901	9,93%	10,32%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	100	1	0,01	0,0900	0,0900	9,93%	10,32%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	100	1	0,01	0,0900	0,0900	10,72%	10,89%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	100	1	0,01	0,0900	0,0900	9,74%	9,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	100	1	0,01	0,0900	0,0900	9,04%	8,92%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	100	1	0,01	0,0901	0,0901	9,74%	9,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	100	1	0,01	0,0900	0,0900	9,74%	9,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	100	1	0,01	0,0900	0,0900	9,92%	10,09%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	100	1	0,01	0,0900	0,0900	9,93%	10,32%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	1	100	100	0,01	0,0899	0,0899	11,24%	11,35%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	100	100	0,01	0,0533	0,0527	70,39%	70,88%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	100	100	0,01	0,0443	0,0435	76,63%	77,18%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	1	100	300	0,01	0,0760	0,0757	42,60%	42,41%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	100	300	0,01	0,0208	0,0199	87,46%	88,15%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	100	300	0,01	0,0193	0,0185	87,87%	88,48%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	100	300	0,01	0,0901	0,0901	9,86%	9,58%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	100	300	0,01	0,0901	0,0901	9,86%	9,58%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	100	300	0,01	0,0884	0,0883	20,96%	21,07%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	100	300	0,01	0,0902	0,0902	9,86%	9,58%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	100	300	0,01	0,0902	0,0902	9,86%	9,58%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	100	300	0,01	0,0642	0,0639	44,19%	44,48%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	100	300	0,01	0,0901	0,0901	9,86%	9,58%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	100	300	0,01	0,0900	0,0900	9,86%	9,58%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	100	300	0,01	0,0901	0,0901	9,86%	9,58%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	100	300	0,01	0,0901	0,0901	9,86%	9,58%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	100	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	100	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	1	500	1	0,01	0,0900	0,0900	9,04%	8,92%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	500	1	0,01	0,0900	0,0900	11,03%	11,06%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	500	1	0,01	0,0900	0,0900	9,95%	9,35%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	500	1	0,01	0,0900	0,0900	10,22%	10,10%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	500	1	0,01	0,0900	0,0900	9,74%	9,82%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	500	1	0,01	0,0900	0,0900	9,75%	9,74%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	500	1	0,01	0,0900	0,0900	10,44%	10,28%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	500	1	0,01	0,0900	0,0900	9,92%	10,09%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	500	1	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	500	1	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	500	1	0,01	0,0900	0,0900	9,86%	9,58%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	500	1	0,01	0,0900	0,0900	9,74%	9,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	500	1	0,01	0,0900	0,0900	10,44%	10,28%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	500	1	0,01	0,0900	0,0900	10,22%	10,10%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	500	1	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	1	500	100	0,01	0,0898	0,0898	11,24%	11,35%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	500	100	0,01	0,0512	0,0506	72,75%	73,69%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	500	100	0,01	0,0443	0,0435	76,87%	77,50%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	500	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	1	500	300	0,01	0,0815	0,0814	41,69%	41,47%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	500	300	0,01	0,0196	0,0189	88,62%	89,16%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	500	300	0,01	0,0183	0,0176	88,66%	89,02%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	500	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	500	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	500	300	0,01	0,0874	0,0873	21,29%	21,40%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	500	300	0,01	0,0900	0,0900	9,87%	9,80%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	500	300	0,01	0,0783	0,0780	32,56%	33,04%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	500	300	0,01	0,0665	0,0662	44,04%	44,47%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	500	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	500	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	500	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	500	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	500	300	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	500	300	0,01	0,0900	0,0900	9,87%	9,80%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	10	1	0,01	0,0920	0,0921	18,80%	18,62%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	10	1	0,01	0,0670	0,0670	49,47%	49,33%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	10	1	0,01	0,0673	0,0675	50,22%	50,04%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	10	1	0,01	0,0933	0,0934	10,44%	10,28%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	10	1	0,01	0,0934	0,0935	10,44%	10,28%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	10	1	0,01	0,0935	0,0936	10,42%	10,25%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	10	1	0,01	0,0934	0,0935	6,72%	6,59%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	10	1	0,01	0,0928	0,0928	10,44%	10,28%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	10	1	0,01	0,0931	0,0932	12,51%	11,77%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	10	1	0,01	0,0934	0,0935	10,43%	10,27%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	10	1	0,01	0,0934	0,0935	10,44%	10,28%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	10	1	0,01	0,0935	0,0936	10,44%	10,28%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	10	1	0,01	0,0934	0,0935	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	10	1	0,01	0,0934	0,0935	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	10	1	0,01	0,0935	0,0936	10,44%	10,28%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	10	100	0,01	0,0180	0,0171	88,36%	88,89%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	10	100	0,01	0,0185	0,0175	88,51%	89,13%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	10	100	0,01	0,0196	0,0187	88,14%	88,63%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	10	100	0,01	0,0288	0,0279	81,16%	81,72%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	10	100	0,01	0,0231	0,0225	86,22%	86,62%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	10	100	0,01	0,0258	0,0247	85,02%	85,86%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	10	100	0,01	0,0284	0,0285	80,81%	80,78%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	10	100	0,01	0,0226	0,0218	86,58%	87,06%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	10	100	0,01	0,0237	0,0232	86,16%	86,55%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	10	100	0,01	0,0900	0,0899	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	10	100	0,01	0,0248	0,0233	85,67%	86,55%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	10	100	0,01	0,0244	0,0238	86,23%	86,52%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	10	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	10	100	0,01	0,0901	0,0901	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	10	100	0,01	0,0901	0,0901	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	10	300	0,01	0,0123	0,0118	92,14%	92,59%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	10	300	0,01	0,0124	0,0118	92,33%	92,66%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	10	300	0,01	0,0120	0,0116	92,72%	92,95%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	10	300	0,01	0,0141	0,0141	91,03%	90,97%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	10	300	0,01	0,0126	0,0124	92,46%	92,49%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	10	300	0,01	0,0122	0,0120	92,95%	92,96%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	10	300	0,01	0,0139	0,0133	91,22%	91,60%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	10	300	0,01	0,0125	0,0120	92,53%	92,78%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	10	300	0,01	0,0121	0,0115	93,00%	93,45%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	10	300	0,01	0,0574	0,0573	52,80%	52,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	10	300	0,01	0,0157	0,0156	91,07%	91,15%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	10	300	0,01	0,0901	0,0901	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	10	300	0,01	0,0607	0,0601	45,71%	45,83%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	10	300	0,01	0,0180	0,0180	89,77%	89,80%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	10	300	0,01	0,0901	0,0901	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	100	1	0,01	0,0904	0,0905	10,22%	10,10%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	100	1	0,01	0,0531	0,0525	64,75%	65,45%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	100	1	0,01	0,0498	0,0492	64,61%	65,73%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	100	1	0,01	0,0906	0,0906	10,22%	10,10%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	100	1	0,01	0,0908	0,0908	10,22%	10,10%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	100	1	0,01	0,0908	0,0908	10,22%	10,10%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	100	1	0,01	0,0908	0,0909	10,22%	10,10%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	100	100	0,01	0,0095	0,0096	93,69%	93,74%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	100	100	0,01	0,0077	0,0081	95,00%	94,76%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	100	100	0,01	0,0081	0,0089	94,87%	94,36%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	100	100	0,01	0,0215	0,0209	86,71%	87,14%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	100	100	0,01	0,0074	0,0078	95,38%	95,03%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	100	100	0,01	0,0087	0,0094	94,72%	94,24%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	100	100	0,01	0,0158	0,0154	89,67%	90,08%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	100	100	0,01	0,0069	0,0077	95,63%	95,18%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	100	100	0,01	0,0078	0,0086	95,30%	94,72%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	100	100	0,01	0,0104	0,0114	93,67%	93,06%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	100	100	0,01	0,0098	0,0108	94,27%	93,66%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	100	100	0,01	0,0900	0,0900	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	100	100	0,01	0,0128	0,0137	92,15%	91,67%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	100	100	0,01	0,0172	0,0168	88,81%	89,20%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	100	300	0,01	0,0050	0,0058	96,77%	96,21%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	100	300	0,01	0,0036	0,0057	97,72%	96,33%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	100	300	0,01	0,0035	0,0055	97,80%	96,50%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	100	300	0,01	0,0054	0,0063	96,49%	95,85%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	100	300	0,01	0,0039	0,0060	97,57%	96,40%		[(784, 50), (50, 20), (20, 10)]
